"","GeneID","Length"
"121","Bger_20223",13766
"122","Bger_20219",1243
"123","Bger_20224",1881
"124","Bger_26344",274
"125","Bger_26342",2795
"126","Bger_26341",9348
"127","Bger_26343",439
"128","Bger_17649",61109
"129","Bger_17650",39785
"130","Bger_17657",44378
"131","Bger_17654",17044
"132","Bger_17658",13273
"133","Bger_17655",30504
"134","Bger_17653",77782
"135","Bger_17651",472
"136","Bger_17656",6579
"137","Bger_17652",1101
"138","Bger_09516",228
"139","Bger_09517",407
"140","Bger_09518",14906
"141","Bger_09519",213
"142","Bger_09520",557
"143","Bger_09521",225
"144","Bger_09522",210
"145","Bger_09523",65657
"146","Bger_09524",509
"147","Bger_09525",16341
"148","Bger_09526",16608
"149","Bger_09528",399
"150","Bger_09529",35432
"151","Bger_09532",17245
"152","Bger_09533",6349
"153","Bger_09531",355
"154","Bger_09536",487
"155","Bger_09539",186
"156","Bger_09541",222
"157","Bger_09534",39487
"158","Bger_09542",24406
"159","Bger_09535",25565
"160","Bger_09527",40742
"161","Bger_09543",581
"162","Bger_09538",7223
"163","Bger_09540",40932
"164","Bger_09530",204
"165","Bger_09537",1675
"166","Bger_09544",1131
"167","Bger_09547",7956
"168","Bger_09546",50828
"169","Bger_09545",19554
"170","Bger_27934",12809
"171","Bger_19168",39510
"172","Bger_19167",5204
"173","Bger_19169",371
"174","Bger_19170",1518
"175","Bger_19171",22409
"176","Bger_19174",363
"177","Bger_19172",603
"178","Bger_19177",12746
"179","Bger_19176",4997
"180","Bger_19173",639
"181","Bger_19175",6493
"182","Bger_19180",174
"183","Bger_19181",17335
"184","Bger_19178",10198
"185","Bger_19179",201
"186","Bger_26167",2235
"187","Bger_26169",3760
"188","Bger_26168",71737
"189","Bger_07768",6455
"190","Bger_07770",1083
"191","Bger_07766",8943
"192","Bger_07761",114789
"193","Bger_07765",52237
"194","Bger_07771",12679
"195","Bger_07764",24165
"196","Bger_07769",52758
"197","Bger_07762",7401
"198","Bger_07767",7178
"199","Bger_07763",2569
"200","Bger_07773",3044
"201","Bger_07774",54171
"202","Bger_07772",396
"203","Bger_07775",1389
"204","Bger_07780",16709
"205","Bger_07782",1534
"206","Bger_07777",5437
"207","Bger_07776",21490
"208","Bger_07781",1771
"209","Bger_07784",20830
"210","Bger_07779",1047
"211","Bger_07778",264
"212","Bger_07785",966
"213","Bger_07787",6369
"214","Bger_07786",34723
"215","Bger_07783",225
"216","Bger_26968",376
"217","Bger_26971",1212
"218","Bger_26969",26237
"219","Bger_26970",414
"220","Bger_16550",572
"221","Bger_16549",64149
"222","Bger_16551",10945
"223","Bger_16554",939
"224","Bger_16553",1783
"225","Bger_16552",489
"226","Bger_16558",17920
"227","Bger_16555",9945
"228","Bger_16556",9206
"229","Bger_16557",11262
"230","Bger_16559",10535
"231","Bger_16560",582
"232","Bger_16561",19262
"233","Bger_16562",10099
"234","Bger_16568",7213
"235","Bger_16567",39051
"236","Bger_16566",171
"237","Bger_16564",22055
"238","Bger_16565",813
"239","Bger_16563",144885
"240","Bger_27181",476
"241","Bger_27182",516
"242","Bger_27180",9310
"243","Bger_28111",668
"244","Bger_21354",42387
"245","Bger_21353",14388
"246","Bger_21352",1241
"247","Bger_21351",15968
"248","Bger_21357",356
"249","Bger_21356",4399
"250","Bger_21355",189
"251","Bger_21362",256
"252","Bger_21361",517
"253","Bger_21360",496
"254","Bger_21359",604
"255","Bger_21358",192
"256","Bger_21363",1401
"257","Bger_23962",1758
"258","Bger_23967",480
"259","Bger_23968",1608
"260","Bger_23964",927
"261","Bger_23963",581
"262","Bger_23965",4711
"263","Bger_23969",12448
"264","Bger_23966",1092
"265","Bger_05717",7891
"266","Bger_05716",18952
"267","Bger_05719",48240
"268","Bger_05721",98755
"269","Bger_05715",10479
"270","Bger_05720",519
"271","Bger_05722",356
"272","Bger_05714",16815
"273","Bger_05718",4718
"274","Bger_05723",21597
"275","Bger_05726",855
"276","Bger_05724",2260
"277","Bger_05730",5322
"278","Bger_05732",378
"279","Bger_05731",2698
"280","Bger_05735",5107
"281","Bger_05733",68051
"282","Bger_05728",22147
"283","Bger_05727",8812
"284","Bger_05736",364
"285","Bger_05734",472
"286","Bger_05725",26053
"287","Bger_05729",4493
"288","Bger_05737",219
"289","Bger_05738",74396
"290","Bger_04727",25459
"291","Bger_04728",10171
"292","Bger_04730",234
"293","Bger_04729",192
"294","Bger_04731",5223
"295","Bger_04732",679
"296","Bger_04742",8048
"297","Bger_04736",29968
"298","Bger_04739",12272
"299","Bger_04735",47951
"300","Bger_04741",48028
"301","Bger_04745",79768
"302","Bger_04743",52276
"303","Bger_04734",28051
"304","Bger_04746",10617
"305","Bger_04733",406
"306","Bger_04747",1485
"307","Bger_04748",4370
"308","Bger_04744",11402
"309","Bger_04738",17485
"310","Bger_04740",246
"311","Bger_04749",9346
"312","Bger_04750",6343
"313","Bger_04751",10610
"314","Bger_04737",30190
"315","Bger_04754",183
"316","Bger_04752",37474
"317","Bger_04753",30020
"318","Bger_04755",3944
"319","Bger_04757",2262
"320","Bger_04756",4168
"321","Bger_04758",195
"322","Bger_04765",863
"323","Bger_04760",6027
"324","Bger_04764",291
"325","Bger_04761",231
"326","Bger_04762",41665
"327","Bger_04759",351
"328","Bger_04763",525
"329","Bger_27667",43594
"330","Bger_27666",492
"331","Bger_24576",1320
"332","Bger_24575",742
"333","Bger_24574",26842
"334","Bger_24577",591
"335","Bger_24578",550
"336","Bger_24579",2921
"337","Bger_24580",73342
"338","Bger_26226",31626
"339","Bger_15819",62603
"340","Bger_15820",24583
"341","Bger_15825",762
"342","Bger_15823",4281
"343","Bger_15821",16122
"344","Bger_15833",5221
"345","Bger_15824",26009
"346","Bger_15828",443
"347","Bger_15822",4944
"348","Bger_15830",31713
"349","Bger_15835",9300
"350","Bger_15831",4860
"351","Bger_15829",35714
"352","Bger_15832",19105
"353","Bger_15834",2864
"354","Bger_28089",3912
"355","Bger_20825",4482
"356","Bger_20824",40553
"357","Bger_20829",246
"358","Bger_20828",3080
"359","Bger_20826",44187
"360","Bger_20827",48516
"361","Bger_20832",1296
"362","Bger_20831",694
"363","Bger_20830",17717
"364","Bger_20833",14300
"365","Bger_27390",85932
"366","Bger_21375",43737
"367","Bger_21377",78973
"368","Bger_21376",49819
"369","Bger_21378",492
"370","Bger_21379",4470
"371","Bger_21380",5545
"372","Bger_21381",974
"373","Bger_21382",501
"374","Bger_21383",28134
"375","Bger_26279",294
"376","Bger_26281",25820
"377","Bger_26282",499
"378","Bger_26280",450
"379","Bger_25289",12637
"380","Bger_25288",91415
"381","Bger_26787",80177
"382","Bger_26788",11506
"383","Bger_26125",168
"384","Bger_26126",8071
"385","Bger_26127",315
"386","Bger_26128",77081
"387","Bger_28384",294
"388","Bger_25706",539
"389","Bger_25704",474
"390","Bger_25705",112741
"391","Bger_25820",5832
"392","Bger_25821",5313
"393","Bger_25822",16985
"394","Bger_25823",16088
"395","Bger_02665",354
"396","Bger_02666",192
"397","Bger_02667",33458
"398","Bger_02668",33936
"399","Bger_02669",33708
"400","Bger_02671",33741
"401","Bger_02670",456
"402","Bger_02677",1992
"403","Bger_02673",4112
"404","Bger_02672",40417
"405","Bger_02674",44769
"406","Bger_02676",1254
"407","Bger_02675",213
"408","Bger_02682",638
"409","Bger_02683",19287
"410","Bger_02690",27488
"411","Bger_02684",49027
"412","Bger_02687",1023
"413","Bger_02688",2674
"414","Bger_02686",21891
"415","Bger_02679",8721
"416","Bger_02678",7621
"417","Bger_02689",35887
"418","Bger_02681",8177
"419","Bger_02680",10228
"420","Bger_02685",10654
"421","Bger_02691",426
"422","Bger_02694",21692
"423","Bger_02703",23245
"424","Bger_02696",22524
"425","Bger_02704",24598
"426","Bger_02706",15605
"427","Bger_02705",24624
"428","Bger_02707",23776
"429","Bger_02713",39323
"430","Bger_02710",12842
"431","Bger_02708",19027
"432","Bger_02714",6654
"433","Bger_02709",5507
"434","Bger_02711",6669
"435","Bger_02697",2136
"436","Bger_02700",1275
"437","Bger_02715",349
"438","Bger_02702",23686
"439","Bger_02695",6584
"440","Bger_02712",1413
"441","Bger_02692",529
"442","Bger_02699",426
"443","Bger_02693",1140
"444","Bger_02698",428
"445","Bger_02701",1164
"446","Bger_02716",560
"447","Bger_02717",601
"448","Bger_02718",300
"449","Bger_02719",282
"450","Bger_27899",389
"451","Bger_27898",425
"452","Bger_28449",327
"453","Bger_22368",738
"454","Bger_22372",33378
"455","Bger_22370",2599
"456","Bger_22374",50036
"457","Bger_22369",15088
"458","Bger_22371",13740
"459","Bger_22373",14389
"460","Bger_22375",19949
"461","Bger_28248",342
"462","Bger_25858",210
"463","Bger_25859",401
"464","Bger_25861",554
"465","Bger_25862",195
"466","Bger_25860",375
"467","Bger_25864",450
"468","Bger_25863",42299
"469","Bger_14651",96164
"470","Bger_14653",192
"471","Bger_14652",716
"472","Bger_14654",326
"473","Bger_14655",204
"474","Bger_14656",375
"475","Bger_14657",17238
"476","Bger_14658",35933
"477","Bger_14659",39882
"478","Bger_14663",444
"479","Bger_14660",455
"480","Bger_14661",31885
"481","Bger_14666",16139
"482","Bger_14662",234
"483","Bger_14665",19111
"484","Bger_14664",9372
"485","Bger_14667",23355
"486","Bger_14668",4487
"487","Bger_14669",8035
"488","Bger_14670",14566
"489","Bger_14671",5359
"490","Bger_14672",28390
"491","Bger_28376",6140
"492","Bger_28073",10308
"493","Bger_28271",5078
"494","Bger_27941",13802
"495","Bger_24408",27346
"496","Bger_24409",6346
"497","Bger_24410",22628
"498","Bger_16259",91779
"499","Bger_16258",6334
"500","Bger_16261",8169
"501","Bger_16260",10760
"502","Bger_16262",29906
"503","Bger_16264",2909
"504","Bger_16270",216
"505","Bger_16263",29066
"506","Bger_16265",750
"507","Bger_16266",21326
"508","Bger_16267",2113
"509","Bger_16269",20238
"510","Bger_16272",32929
"511","Bger_16268",9946
"512","Bger_16271",4127
"513","Bger_18390",69456
"514","Bger_18391",432
"515","Bger_18395",14850
"516","Bger_18397",225
"517","Bger_18394",11228
"518","Bger_18392",580
"519","Bger_18393",3127
"520","Bger_18396",8409
"521","Bger_18398",10771
"522","Bger_18402",14916
"523","Bger_18401",3637
"524","Bger_18403",8123
"525","Bger_18400",398
"526","Bger_18399",1614
"527","Bger_18404",4654
"528","Bger_22645",254
"529","Bger_22646",282
"530","Bger_22647",585
"531","Bger_22649",55817
"532","Bger_22648",453
"533","Bger_22651",960
"534","Bger_22650",234
"535","Bger_22652",412
"536","Bger_22655",296
"537","Bger_22653",42098
"538","Bger_22654",34516
"539","Bger_22656",970
"540","Bger_19361",1146
"541","Bger_19360",786
"542","Bger_19359",3503
"543","Bger_19362",119712
"544","Bger_19364",180
"545","Bger_19365",180
"546","Bger_19358",1497
"547","Bger_19357",177
"548","Bger_19363",13973
"549","Bger_19366",1431
"550","Bger_19368",15721
"551","Bger_19370",12021
"552","Bger_19369",9134
"553","Bger_19371",35551
"554","Bger_19367",192
"555","Bger_07206",33399
"556","Bger_07209",33982
"557","Bger_07210",9874
"558","Bger_07207",21922
"559","Bger_07208",8813
"560","Bger_07211",7906
"561","Bger_07215",32821
"562","Bger_07216",4153
"563","Bger_07214",20360
"564","Bger_07212",939
"565","Bger_07213",2880
"566","Bger_07220",7546
"567","Bger_07218",17818
"568","Bger_07219",11384
"569","Bger_07217",13573
"570","Bger_07221",593
"571","Bger_07223",38168
"572","Bger_07222",10758
"573","Bger_07226",1442
"574","Bger_07227",17313
"575","Bger_07225",58521
"576","Bger_07224",25775
"577","Bger_07228",1821
"578","Bger_15600",18453
"579","Bger_15602",2767
"580","Bger_15604",338
"581","Bger_15607",31041
"582","Bger_15606",7686
"583","Bger_15601",42565
"584","Bger_15611",3088
"585","Bger_15608",43688
"586","Bger_15603",3318
"587","Bger_15610",351
"588","Bger_15605",15770
"589","Bger_15609",3479
"590","Bger_15612",4459
"591","Bger_18928",231
"592","Bger_18926",15329
"593","Bger_18927",177
"594","Bger_18929",16347
"595","Bger_18930",616
"596","Bger_18933",312
"597","Bger_18932",255
"598","Bger_18931",222
"599","Bger_18934",8520
"600","Bger_18938",2871
"601","Bger_18940",20156
"602","Bger_18939",2266
"603","Bger_18937",6067
"604","Bger_18936",24700
"605","Bger_18941",1422
"606","Bger_18935",435
"607","Bger_18942",20523
"608","Bger_28172",28400
"609","Bger_22423",2881
"610","Bger_22424",78297
"611","Bger_22421",384
"612","Bger_22425",26350
"613","Bger_22422",65302
"614","Bger_23665",5429
"615","Bger_23662",26586
"616","Bger_23664",35750
"617","Bger_23661",1253
"618","Bger_23663",387
"619","Bger_23666",535
"620","Bger_24595",357
"621","Bger_24596",3312
"622","Bger_24601",570
"623","Bger_24597",468
"624","Bger_24598",1613
"625","Bger_24594",270
"626","Bger_24600",22566
"627","Bger_24599",4785
"628","Bger_27536",477
"629","Bger_27537",34490
"630","Bger_03786",243
"631","Bger_03784",2513
"632","Bger_03787",9853
"633","Bger_03789",1292
"634","Bger_03790",22050
"635","Bger_03785",29900
"636","Bger_03791",40249
"637","Bger_03788",16022
"638","Bger_03792",57959
"639","Bger_03793",213
"640","Bger_03794",8622
"641","Bger_03797",2418
"642","Bger_03795",3076
"643","Bger_03796",60321
"644","Bger_03798",37950
"645","Bger_03799",186
"646","Bger_03800",9418
"647","Bger_03805",6109
"648","Bger_03801",33162
"649","Bger_03804",615
"650","Bger_03802",4893
"651","Bger_03810",2559
"652","Bger_03808",28526
"653","Bger_03807",33729
"654","Bger_03814",16070
"655","Bger_03816",20983
"656","Bger_03815",26226
"657","Bger_03817",171
"658","Bger_03811",5058
"659","Bger_03806",39084
"660","Bger_03803",71603
"661","Bger_03809",9743
"662","Bger_03813",210
"663","Bger_03812",84381
"664","Bger_03818",639
"665","Bger_03819",243
"666","Bger_03820",231
"667","Bger_03822",867
"668","Bger_03821",11906
"669","Bger_03824",343
"670","Bger_03823",336
"671","Bger_03825",288
"672","Bger_24767",9403
"673","Bger_24769",18997
"674","Bger_24768",1399
"675","Bger_24766",73079
"676","Bger_22117",473
"677","Bger_22118",6687
"678","Bger_22113",27332
"679","Bger_22112",386
"680","Bger_22115",39709
"681","Bger_22119",12297
"682","Bger_22114",4239
"683","Bger_22116",125061
"684","Bger_28329",5125
"685","Bger_25451",75311
"686","Bger_25452",34629
"687","Bger_17493",58303
"688","Bger_17492",23710
"689","Bger_17498",480
"690","Bger_17500",13063
"691","Bger_17495",64446
"692","Bger_17497",258
"693","Bger_17494",13824
"694","Bger_17499",15872
"695","Bger_17496",33894
"696","Bger_27642",5812
"697","Bger_27643",284
"698","Bger_27483",2851
"699","Bger_27482",6650
"700","Bger_28268",4246
"701","Bger_07528",63932
"702","Bger_07529",378
"703","Bger_07531",42073
"704","Bger_07530",527
"705","Bger_07536",27849
"706","Bger_07535",453
"707","Bger_07534",240
"708","Bger_07533",1801
"709","Bger_07532",1770
"710","Bger_07538",32461
"711","Bger_07540",291
"712","Bger_07539",467
"713","Bger_07537",3335
"714","Bger_07541",43863
"715","Bger_07542",28424
"716","Bger_07544",12370
"717","Bger_07551",22532
"718","Bger_07546",11019
"719","Bger_07548",85716
"720","Bger_07549",88396
"721","Bger_07545",50270
"722","Bger_07543",31877
"723","Bger_07556",581
"724","Bger_07553",19579
"725","Bger_07554",54701
"726","Bger_07547",348
"727","Bger_07550",1665
"728","Bger_07552",51739
"729","Bger_07555",4307
"730","Bger_27069",71904
"731","Bger_06871",6018
"732","Bger_06876",7150
"733","Bger_06872",31551
"734","Bger_06879",69820
"735","Bger_06875",10538
"736","Bger_06877",11399
"737","Bger_06873",1158
"738","Bger_06874",450
"739","Bger_06878",8646
"740","Bger_06869",19133
"741","Bger_06870",8752
"742","Bger_06880",15321
"743","Bger_06884",402
"744","Bger_06881",321
"745","Bger_06883",19258
"746","Bger_06890",126559
"747","Bger_06893",1038
"748","Bger_06889",52550
"749","Bger_06888",1979
"750","Bger_06886",1142
"751","Bger_06882",35176
"752","Bger_06894",13330
"753","Bger_06885",240
"754","Bger_06892",470
"755","Bger_06891",18511
"756","Bger_06887",795
"757","Bger_11245",13721
"758","Bger_11246",9073
"759","Bger_11247",55666
"760","Bger_11249",17233
"761","Bger_11248",9017
"762","Bger_11250",83379
"763","Bger_11251",222
"764","Bger_11253",42325
"765","Bger_11258",4506
"766","Bger_11252",7925
"767","Bger_11255",23382
"768","Bger_11256",24014
"769","Bger_11254",3667
"770","Bger_11259",676
"771","Bger_11257",3419
"772","Bger_15487",27078
"773","Bger_15488",5502
"774","Bger_15490",24095
"775","Bger_15489",17372
"776","Bger_15485",10086
"777","Bger_15483",35521
"778","Bger_15484",20446
"779","Bger_15486",20929
"780","Bger_15494",27083
"781","Bger_15493",59159
"782","Bger_15492",1150
"783","Bger_15491",14415
"784","Bger_26392",15260
"785","Bger_26393",15227
"786","Bger_26394",327
"787","Bger_28369",3685
"788","Bger_05040",38533
"789","Bger_05043",20597
"790","Bger_05039",7607
"791","Bger_05055",29289
"792","Bger_05049",26835
"793","Bger_05050",13807
"794","Bger_05054",3390
"795","Bger_05048",5777
"796","Bger_05051",10955
"797","Bger_05056",24805
"798","Bger_05045",16090
"799","Bger_05058",11910
"800","Bger_05046",728
"801","Bger_05041",17827
"802","Bger_05042",8661
"803","Bger_05047",5918
"804","Bger_05044",630
"805","Bger_05053",1612
"806","Bger_05057",1816
"807","Bger_05052",4382
"808","Bger_05038",3284
"809","Bger_05065",63630
"810","Bger_05062",204
"811","Bger_05060",20113
"812","Bger_05061",28919
"813","Bger_05059",19676
"814","Bger_05063",4865
"815","Bger_05064",22807
"816","Bger_27541",136958
"817","Bger_08263",2925
"818","Bger_08264",198
"819","Bger_08265",3918
"820","Bger_08266",8769
"821","Bger_08269",19057
"822","Bger_08268",7149
"823","Bger_08267",3723
"824","Bger_08270",84161
"825","Bger_08271",16325
"826","Bger_08275",4433
"827","Bger_08273",8976
"828","Bger_08278",21056
"829","Bger_08277",5010
"830","Bger_08274",11856
"831","Bger_08276",1057
"832","Bger_08279",984
"833","Bger_08272",654
"834","Bger_08281",38306
"835","Bger_08280",9944
"836","Bger_08282",183
"837","Bger_08283",2784
"838","Bger_08284",222
"839","Bger_08285",706
"840","Bger_08286",627
"841","Bger_08288",219
"842","Bger_08287",168
"843","Bger_08290",18036
"844","Bger_08289",27702
"845","Bger_08291",29256
"846","Bger_08293",80624
"847","Bger_08292",28575
"848","Bger_08294",23953
"849","Bger_16419",18455
"850","Bger_16420",80915
"851","Bger_16421",22034
"852","Bger_16424",8815
"853","Bger_16423",33886
"854","Bger_16427",16572
"855","Bger_16429",33703
"856","Bger_16426",5212
"857","Bger_16422",7029
"858","Bger_16425",892
"859","Bger_16428",4422
"860","Bger_10200",252
"861","Bger_10202",569
"862","Bger_10199",30238
"863","Bger_10205",999
"864","Bger_10201",696
"865","Bger_10204",219
"866","Bger_10207",879
"867","Bger_10206",517
"868","Bger_10203",258
"869","Bger_10209",312
"870","Bger_10211",2913
"871","Bger_10213",18949
"872","Bger_10212",5571
"873","Bger_10210",13228
"874","Bger_10208",7823
"875","Bger_10214",24058
"876","Bger_10215",444
"877","Bger_10219",457
"878","Bger_10221",9030
"879","Bger_10225",195
"880","Bger_10222",13986
"881","Bger_10229",228
"882","Bger_10223",14315
"883","Bger_10227",25752
"884","Bger_10230",404
"885","Bger_10218",25533
"886","Bger_10216",9349
"887","Bger_10217",3454
"888","Bger_10224",3097
"889","Bger_10226",972
"890","Bger_10220",4878
"891","Bger_10228",12451
"892","Bger_25389",2134
"893","Bger_25386",686
"894","Bger_25387",34157
"895","Bger_25390",13912
"896","Bger_25388",6115
"897","Bger_26924",249
"898","Bger_26925",4965
"899","Bger_26922",23360
"900","Bger_26923",2634
"901","Bger_13378",34305
"902","Bger_13376",41518
"903","Bger_13377",18911
"904","Bger_13379",22243
"905","Bger_13381",6253
"906","Bger_13380",4057
"907","Bger_13389",16071
"908","Bger_13386",495
"909","Bger_13390",28000
"910","Bger_13388",414
"911","Bger_13391",17564
"912","Bger_13382",7459
"913","Bger_13383",29519
"914","Bger_13387",6151
"915","Bger_13385",43189
"916","Bger_13384",627
"917","Bger_25432",21639
"918","Bger_25433",7324
"919","Bger_25437",474
"920","Bger_25439",494
"921","Bger_25438",402
"922","Bger_25436",970
"923","Bger_25434",489
"924","Bger_25435",489
"925","Bger_26927",26466
"926","Bger_26926",26570
"927","Bger_23834",365
"928","Bger_23837",120672
"929","Bger_23833",111427
"930","Bger_23835",26399
"931","Bger_23836",22065
"932","Bger_28119",788
"933","Bger_28383",604
"934","Bger_25447",729
"935","Bger_25448",693
"936","Bger_25449",49942
"937","Bger_25445",5694
"938","Bger_25446",5982
"939","Bger_25450",26198
"940","Bger_19098",50992
"941","Bger_19097",699
"942","Bger_19099",583
"943","Bger_19100",11992
"944","Bger_19103",1774
"945","Bger_19101",29883
"946","Bger_19102",42024
"947","Bger_19105",1098
"948","Bger_19104",21159
"949","Bger_19108",9256
"950","Bger_19107",363
"951","Bger_19106",51862
"952","Bger_19109",3449
"953","Bger_26702",7739
"954","Bger_26703",207
"955","Bger_26704",1146
"956","Bger_26701",1521
"957","Bger_12508",506
"958","Bger_12509",1024
"959","Bger_12510",246
"960","Bger_12512",240
"961","Bger_12511",44258
"962","Bger_12513",372
"963","Bger_12514",13107
"964","Bger_12516",15362
"965","Bger_12517",20462
"966","Bger_12518",216
"967","Bger_12520",321
"968","Bger_12530",1077
"969","Bger_12519",59344
"970","Bger_12525",1346
"971","Bger_12527",424
"972","Bger_12522",9125
"973","Bger_12528",3750
"974","Bger_12521",5253
"975","Bger_12524",5410
"976","Bger_12515",183236
"977","Bger_12529",975
"978","Bger_12523",307
"979","Bger_12526",362
"980","Bger_12531",237
"981","Bger_12533",237
"982","Bger_12532",486
"983","Bger_12535",1200
"984","Bger_12534",254
"985","Bger_12536",486
"986","Bger_12538",399
"987","Bger_12540",306
"988","Bger_12537",741
"989","Bger_12539",626
"990","Bger_28057",29980
"991","Bger_26559",52516
"992","Bger_26561",416
"993","Bger_26560",358
"994","Bger_17980",279
"995","Bger_17981",14507
"996","Bger_17982",1981
"997","Bger_17979",612
"998","Bger_17983",441
"999","Bger_17987",73453
"1000","Bger_17985",2344
"1001","Bger_17984",9102
"1002","Bger_17986",13847
"1003","Bger_17988",225
"1004","Bger_17989",583
"1005","Bger_17990",105024
"1006","Bger_17991",343
"1007","Bger_13867",20946
"1008","Bger_13864",37231
"1009","Bger_13862",11747
"1010","Bger_13863",43353
"1011","Bger_13868",12732
"1012","Bger_13866",19071
"1013","Bger_13865",1904
"1014","Bger_13861",131047
"1015","Bger_13869",273
"1016","Bger_13870",678
"1017","Bger_13871",45708
"1018","Bger_13873",8124
"1019","Bger_13872",645
"1020","Bger_10659",21583
"1021","Bger_10661",11213
"1022","Bger_10657",8788
"1023","Bger_10655",9249
"1024","Bger_10656",35622
"1025","Bger_10658",3312
"1026","Bger_10660",31763
"1027","Bger_10664",22490
"1028","Bger_10662",273
"1029","Bger_10663",28307
"1030","Bger_10667",316
"1031","Bger_10668",2579
"1032","Bger_10665",799
"1033","Bger_10666",32971
"1034","Bger_10671",41917
"1035","Bger_10672",21583
"1036","Bger_10673",25740
"1037","Bger_10675",234
"1038","Bger_10669",180
"1039","Bger_10670",3705
"1040","Bger_10674",4418
"1041","Bger_19972",9685
"1042","Bger_19970",2174
"1043","Bger_19975",14463
"1044","Bger_19974",53272
"1045","Bger_19971",13004
"1046","Bger_19973",98184
"1047","Bger_19977",6356
"1048","Bger_19976",19932
"1049","Bger_04766",16400
"1050","Bger_04767",188608
"1051","Bger_04770",9908
"1052","Bger_04769",20594
"1053","Bger_04771",85846
"1054","Bger_04768",19501
"1055","Bger_04772",16935
"1056","Bger_04773",3699
"1057","Bger_04775",52523
"1058","Bger_04774",6584
"1059","Bger_04776",436
"1060","Bger_04781",40108
"1061","Bger_04777",38941
"1062","Bger_04782",15116
"1063","Bger_04778",21647
"1064","Bger_04780",55287
"1065","Bger_04779",15354
"1066","Bger_04783",63974
"1067","Bger_04784",8258
"1068","Bger_04785",3441
"1069","Bger_05225",8820
"1070","Bger_05226",285
"1071","Bger_05231",5627
"1072","Bger_05233",71753
"1073","Bger_05232",7773
"1074","Bger_05229",59750
"1075","Bger_05242",25714
"1076","Bger_05244",204
"1077","Bger_05237",420
"1078","Bger_05238",4688
"1079","Bger_05227",350
"1080","Bger_05245",336
"1081","Bger_05228",47982
"1082","Bger_05240",41016
"1083","Bger_05239",13814
"1084","Bger_05241",15567
"1085","Bger_05235",14616
"1086","Bger_05236",582
"1087","Bger_05234",201
"1088","Bger_05230",12204
"1089","Bger_05250",1431
"1090","Bger_05252",1497
"1091","Bger_05249",471
"1092","Bger_05246",68394
"1093","Bger_05251",31382
